run_label,temperature,mode,validity,num_examples
final,0.0,base,0.0,100
final,0.0,fine_tuned,0.72,100
final,0.0,base_constrained,0.0,100
final,0.0,fine_tuned_constrained,0.0,100
final,0.3,base,0.0,100
final,0.3,fine_tuned,0.61,100
final,0.3,base_constrained,0.0,100
final,0.3,fine_tuned_constrained,0.0,100
final,0.7,base,0.0,100
final,0.7,fine_tuned,0.56,100
final,0.7,base_constrained,0.0,100
final,0.7,fine_tuned_constrained,0.0,100
final,1.0,base,0.0,100
final,1.0,fine_tuned,0.45,100
final,1.0,base_constrained,0.0,100
final,1.0,fine_tuned_constrained,0.0,100
checkpoint-500,0.0,base,0.0,100
checkpoint-500,0.0,checkpoint-500,0.59,100
checkpoint-500,0.0,base_constrained,0.0,100
checkpoint-500,0.0,checkpoint-500_constrained,0.0,100
checkpoint-500,0.3,base,0.0,100
checkpoint-500,0.3,checkpoint-500,0.6,100
checkpoint-500,0.3,base_constrained,0.0,100
checkpoint-500,0.3,checkpoint-500_constrained,0.0,100
checkpoint-500,0.7,base,0.0,100
checkpoint-500,0.7,checkpoint-500,0.39,100
checkpoint-500,0.7,base_constrained,0.0,100
checkpoint-500,0.7,checkpoint-500_constrained,0.0,100
checkpoint-500,1.0,base,0.0,100
checkpoint-500,1.0,checkpoint-500,0.33,100
checkpoint-500,1.0,base_constrained,0.0,100
checkpoint-500,1.0,checkpoint-500_constrained,0.0,100
checkpoint-1000,0.0,base,0.0,100
checkpoint-1000,0.0,checkpoint-1000,0.67,100
checkpoint-1000,0.0,base_constrained,0.0,100
checkpoint-1000,0.0,checkpoint-1000_constrained,0.0,100
checkpoint-1000,0.3,base,0.0,100
checkpoint-1000,0.3,checkpoint-1000,0.53,100
checkpoint-1000,0.3,base_constrained,0.0,100
checkpoint-1000,0.3,checkpoint-1000_constrained,0.0,100
checkpoint-1000,0.7,base,0.0,100
checkpoint-1000,0.7,checkpoint-1000,0.46,100
checkpoint-1000,0.7,base_constrained,0.0,100
checkpoint-1000,0.7,checkpoint-1000_constrained,0.0,100
checkpoint-1000,1.0,base,0.0,100
checkpoint-1000,1.0,checkpoint-1000,0.3,100
checkpoint-1000,1.0,base_constrained,0.0,100
checkpoint-1000,1.0,checkpoint-1000_constrained,0.0,100
checkpoint-1500,0.0,base,0.0,100
checkpoint-1500,0.0,checkpoint-1500,0.72,100
checkpoint-1500,0.0,base_constrained,0.0,100
checkpoint-1500,0.0,checkpoint-1500_constrained,0.0,100
checkpoint-1500,0.3,base,0.0,100
checkpoint-1500,0.3,checkpoint-1500,0.66,100
checkpoint-1500,0.3,base_constrained,0.0,100
checkpoint-1500,0.3,checkpoint-1500_constrained,0.0,100
checkpoint-1500,0.7,base,0.0,100
checkpoint-1500,0.7,checkpoint-1500,0.53,100
checkpoint-1500,0.7,base_constrained,0.0,100
checkpoint-1500,0.7,checkpoint-1500_constrained,0.0,100
checkpoint-1500,1.0,base,0.0,100
checkpoint-1500,1.0,checkpoint-1500,0.43,100
checkpoint-1500,1.0,base_constrained,0.0,100
checkpoint-1500,1.0,checkpoint-1500_constrained,0.0,100
