run_label,temperature,mode,validity,exact_match,aggregation_acc,select_column_acc,table_name_acc,where_column_acc,where_operator_acc,where_value_acc,num_examples
final,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.0,fine_tuned,0.72,0.29,0.81,0.79,0.83,0.62,0.91,0.66,100
final,0.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.0,fine_tuned_constrained,0.59,0.15,0.48,0.53,0.6,0.37,0.56,0.31,100
final,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.3,fine_tuned,0.67,0.25,0.81,0.8,0.75,0.65,0.91,0.67,100
final,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.3,fine_tuned_constrained,0.59,0.16,0.49,0.53,0.59,0.36,0.55,0.3,100
final,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.7,fine_tuned,0.54,0.18,0.83,0.75,0.72,0.59,0.88,0.6,100
final,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.7,fine_tuned_constrained,0.59,0.14,0.46,0.47,0.59,0.33,0.52,0.31,100
final,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,1.0,fine_tuned,0.39,0.14,0.81,0.69,0.54,0.55,0.85,0.56,100
final,1.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,1.0,fine_tuned_constrained,0.56,0.13,0.47,0.48,0.56,0.32,0.49,0.27,100
checkpoint-500,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-500,0.0,checkpoint-500,0.59,0.15,0.77,0.71,0.73,0.54,0.93,0.63,100
checkpoint-500,0.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-500,0.0,checkpoint-500_constrained,0.58,0.09,0.44,0.49,0.59,0.33,0.58,0.31,100
checkpoint-500,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-500,0.3,checkpoint-500,0.55,0.17,0.77,0.7,0.65,0.6,0.93,0.62,100
checkpoint-500,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-500,0.3,checkpoint-500_constrained,0.53,0.09,0.42,0.46,0.54,0.29,0.53,0.29,100
checkpoint-500,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-500,0.7,checkpoint-500,0.42,0.09,0.77,0.66,0.58,0.51,0.93,0.56,100
checkpoint-500,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-500,0.7,checkpoint-500_constrained,0.49,0.07,0.36,0.38,0.49,0.28,0.48,0.28,100
checkpoint-500,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
